ID,start,end,code,team,action,half,pos_x,pos_y
1,0,16.84,25. Benton Tameling,Seattle United 06 Tango,Positional attacks,1st half,22.8,35.8
2,0,18.59,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,34.7,40.7
3,0,10.37,50. Jackson Smith,Seattle United 06 Tango,Passes accurate,1st half,52.5,34.0
4,0,19.72,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,39.9,47.8
5,0,16.84,25. Benton Tameling,Seattle United 06 Tango,Passes accurate,1st half,22.8,35.8
6,0,19.72,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,39.9,47.8
7,0,14.65,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,34.0,65.1
8,0,12.02,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,40.3,42.4
9,0,10.37,50. Jackson Smith,Seattle United 06 Tango,Positional attacks,1st half,52.5,34.0
10,0,14.65,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,34.0,65.1
11,0,12.02,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,40.3,42.4
12,0.37,1.37,Start,,,,,
13,2.4,22.4,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,58.2,66.5
14,2.4,22.4,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,58.2,66.5
15,2.4,22.4,47. Tate Macdonald,Seattle United 06 Tango,Dribbling,1st half,58.2,66.5
16,5.92,25.92,47. Tate Macdonald,Seattle United 06 Tango,Passes (inaccurate),1st half,71.3,64.3
17,5.92,25.92,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,71.3,64.3
18,6.62,26.62,13. Noname Noname,Sound FC 06,Interceptions,1st half,27.2,2.4
19,6.62,26.62,13. Noname Noname,Sound FC 06,Positional attacks,1st half,27.2,2.4
20,17.12,37.12,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,82.1,68.0
21,17.12,37.12,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,82.1,68.0
22,18.32,38.32,21. Gian Lucca Weintraub,Seattle United 06 Tango,Positional attacks,1st half,82.5,56.3
23,20.05,40.05,21. Gian Lucca Weintraub,Seattle United 06 Tango,Positional attacks,1st half,80.0,62.8
24,20.05,40.05,21. Gian Lucca Weintraub,Seattle United 06 Tango,Passes accurate,1st half,80.0,62.8
25,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Lost balls,1st half,81.0,67.1
26,20.78,40.78,9. Noname Noname,Sound FC 06,Challenges (won),1st half,24,0.90000000000001
27,20.78,40.78,9. Noname Noname,Sound FC 06,Tackles (Successful actions),1st half,24,0.90000000000001
28,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Dribbles (Unsuccessful actions),1st half,81.0,67.1
29,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Challenges (lost),1st half,81.0,67.1
30,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,81.0,67.1
31,21.86,41.86,8. Noname A19,Sound FC 06,Passes accurate,1st half,22.2,2.7
32,21.86,41.86,8. Noname A19,Sound FC 06,Picking-ups,1st half,22.2,2.7
33,23.91,43.91,5. Noname Noname,Sound FC 06,Lost balls (in opp. half),1st half,11.0,0.0
34,23.91,43.91,5. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,7.6,7.7
35,23.91,43.91,5. Noname Noname,Sound FC 06,Lost balls,1st half,11.0,0.0
36,32.11,52.11,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,95.2,68.0
37,32.11,52.11,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,95.2,68.0
38,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Positional attacks,1st half,98.7,55.4
39,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Passes into the penalty box,1st half,98.7,55.4
40,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Lost balls,1st half,95.2,43.6
41,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Passes (inaccurate),1st half,98.7,55.4
42,34.21,54.21,10. Noname A20,Sound FC 06,Positional attacks,1st half,9.8,24.4
43,34.21,54.21,10. Noname A20,Sound FC 06,Passes accurate,1st half,9.8,24.4
44,34.21,54.21,10. Noname A20,Sound FC 06,Interceptions,1st half,9.8,24.4
45,36.03,56.03,9. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,13.5,16.2
46,37.88,57.88,23. Zoran Khan,Seattle United 06 Tango,Interceptions (in opp. half),1st half,89.4,35.5
47,37.88,57.88,23. Zoran Khan,Seattle United 06 Tango,Interceptions,1st half,89.4,35.5
48,40.36,60.36,8. Noname A19,Sound FC 06,Challenges (won),1st half,24.0,29.3
49,40.36,60.36,23. Zoran Khan,Seattle United 06 Tango,Challenges (lost),1st half,81,38.7
50,41.67,61.67,7. Noname Noname,Sound FC 06,Picking-ups,1st half,33.0,19.6
51,42.99,62.99,7. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,31.8,15.1
52,43.12,63.12,42. Loic Charles-Antoine,Seattle United 06 Tango,Interceptions (in opp. half),1st half,69.8,53.5
53,43.12,63.12,42. Loic Charles-Antoine,Seattle United 06 Tango,Interceptions,1st half,69.8,53.5
54,44.86,64.86,13. Noname Noname,Sound FC 06,Bad ball control,1st half,32.3,3.5
55,46.51,66.51,13. Noname Noname,Sound FC 06,Challenges (won),1st half,24.8,9.4
56,46.51,66.51,29. Jackson Peterson,Seattle United 06 Tango,Challenges (lost),1st half,80.2,58.6
57,48.06,68.06,13. Noname Noname,Sound FC 06,Dribbles (Unsuccessful actions),1st half,25.1,12.2
58,48.06,68.06,42. Loic Charles-Antoine,Seattle United 06 Tango,Tackles (Successful actions),1st half,79.9,55.8
59,48.06,68.06,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (won),1st half,79.9,55.8
60,48.06,68.06,13. Noname Noname,Sound FC 06,Challenges (lost),1st half,25.1,12.2
61,48.06,68.06,13. Noname Noname,Sound FC 06,Lost balls,1st half,25.1,12.2
62,48.06,68.06,13. Noname Noname,Sound FC 06,Lost balls (in opp. half),1st half,25.1,12.2
63,48.77,68.77,29. Jackson Peterson,Seattle United 06 Tango,Bad ball control,1st half,83.6,54.4
64,48.77,68.77,29. Jackson Peterson,Seattle United 06 Tango,Lost balls,1st half,83.6,54.4
65,50.44,70.44,5. Noname Noname,Sound FC 06,Picking-ups,1st half,15.4,11.4
66,52.1,72.1,5. Noname Noname,Sound FC 06,Counter-attacks,1st half,12.1,2.2
67,52.1,72.1,5. Noname Noname,Sound FC 06,Passes accurate,1st half,12.1,2.2
68,54.21,74.21,7. Noname Noname,Sound FC 06,Counter-attacks,1st half,43.9,9.9
69,56.63,76.63,7. Noname Noname,Sound FC 06,Passes accurate,1st half,45.3,4.2
70,56.63,76.63,7. Noname Noname,Sound FC 06,Counter-attacks,1st half,45.3,4.2
71,59.62,79.62,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,81.4,10.0
72,62.28,82.28,33. Kirby Winfield III,Seattle United 06 Tango,Interceptions,1st half,6.9,46.6
73,62.28,82.28,33. Kirby Winfield III,Seattle United 06 Tango,Counter-attacks,1st half,6.9,46.6
74,62.28,82.28,18. Noname Noname,Sound FC 06,Shots,1st half,97.3,19.4
75,62.28,82.28,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,97.3,19.4
76,64.6,84.6,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,95.5,14.3
77,64.6,84.6,18. Noname Noname,Sound FC 06,Picking-ups,1st half,95.5,14.3
78,64.6,84.6,18. Noname Noname,Sound FC 06,Picking-ups (in opp. half),1st half,95.5,14.3
79,66.34,86.34,18. Noname Noname,Sound FC 06,Passes accurate,1st half,86.8,12.5
80,66.34,86.34,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,86.8,12.5
81,67.82,87.82,7. Noname Noname,Sound FC 06,Lost balls,1st half,78.2,13.7
82,67.82,87.82,7. Noname Noname,Sound FC 06,Counter-attacks,1st half,78.2,13.7
83,67.82,87.82,42. Loic Charles-Antoine,Seattle United 06 Tango,Tackles (Successful actions),1st half,26.8,54.3
84,67.82,87.82,7. Noname Noname,Sound FC 06,Dribbles (Unsuccessful actions),1st half,78.2,13.7
